,Date: ,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Students Doing,,,,,,,,,,,,,Instructor Doing,,,,,,,,,,,,
Time,L,IND,CG,WG,OG,AnQ,SQ,WC,Prd,SP,T/Q,W,O,Lec,RtW,Fup,PQ,CQ,AnQ,MG,1o1,D/V,Adm,W,O,Notes
2,X,,X,,,,,,,,X,,,X,,X,,X,,,,,,,,
4,X,,X,,,,,,,,,,,X,,,,X,,,,,,X,,"Instructor does not wander during CQ, waits at front"
6,X,,X,,,,,,,,X,,,X,,X,,X,,,,,,X,,
8,,,X,,,,,,,,X,,,,,,,X,,,,,,X,,"Half the CQ are exercises and half are labeled ""quiz"""
10,X,,,,,X,,,,,,,,X,,X,X,X,,,,,,,,Discussing clicker question
12,X,,,,,X,,,,,,,,X,,X,X,X,,,,,,,,Discussing clicker question
14,X,,,,,,X,,,,,,,X,,X,,X,X,,,,,,,Discussing clicker question
16,X,,,,,,,,,,,X,,X,,,,,,,,X,,,,Students waiting while demo is set up
18,X,,,,,,,,,,,X,,X,,,,,,,,X,,,,Students waiting while demo is set up
20,X,,,,,,,,,,,X,,X,,X,,,,,,X,,,,Students waiting while demo is set up
